cimin,pftname,paramb,parama,distname,median,N,cimax,vname
1.753274,CMT04-Betula,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT04-Betula,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
0.002526,CMT05-Betula,0.0035,0.0025,unif,0.003,,0.003475,gcmax
778.116414,CMT05-Betula,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
0.773702,CMT04-Betula,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT04-Betula,5.0,3.25,unif,4.125874,,4.956292,vpd_close
8.636496,CMT04-Betula,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.017533,CMT04-Betula,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
0.162571,CMT04-Sedges,10.0,5.0,gamma,0.467865,,1.024991,extinction_coefficient_diffuse
0.017533,CMT04-Sedges,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
0.026624,CMT04-Sedges,0.65,0.01,unif,0.33032,,0.634015,klai
778.116414,CMT04-Betula,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
1.753274,CMT04-Sedges,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT04-Sedges,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
8.636496,CMT04-Sedges,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT04-Sedges,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT04-Sedges,5.0,3.25,unif,4.125874,,4.956292,vpd_close
0.017533,CMT06-Forbs,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
778.116414,CMT06-Forbs,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
8.636496,CMT06-Forbs,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT06-Forbs,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT06-Forbs,5.0,3.25,unif,4.125874,,4.956292,vpd_close
-7.370125,CMT06-Forbs,-2.5,-7.5,unif,-4.997503,0,-2.62488,pstemp_min
10.519499,CMT06-Forbs,30.0,10.0,unif,20.00999,0,29.50048,pstemp_high
25.519499,CMT06-Forbs,45.0,25.0,unif,35.00999,0,44.50048,pstemp_max
2.181825,CMT06-Forbs,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
0.001433,CMT05-Betula,20.0,1.0,gamma,0.034964,0,0.184645,ilai
0.002858,CMT06-Forbs,0.00315,0.00285,unif,0.003,0,0.003143,gcmax
4.977758,CMT04-Salix,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
2.532524,CMT04-Sedges,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
1.753274,CMT06-Grasses,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT06-Grasses,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
2.532524,CMT06-Grasses,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
8.636496,CMT06-Grasses,145.0,5.0,unif,75.06993,,141.503363,ppfd50
12.077998,CMT06-Grasses,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
0.773702,CMT06-Grasses,1.1,0.765,unif,0.932667,,1.091633,vpd_open
778.116414,CMT06-Grasses,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
3.295456,CMT06-Grasses,5.0,3.25,unif,4.125874,,4.956292,vpd_close
-7.370125,CMT06-Grasses,-2.5,-7.5,unif,-4.997503,0,-2.62488,pstemp_min
10.519499,CMT06-Grasses,30.0,10.0,unif,20.00999,0,29.50048,pstemp_high
25.519499,CMT06-Grasses,45.0,25.0,unif,35.00999,0,44.50048,pstemp_max
2.181825,CMT06-Grasses,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
0.10877,CMT06-Grasses,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
12.077998,CMT04-Sedges,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
0.017533,CMT06-Grasses,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
4.977758,CMT06-Forbs,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.026624,CMT06-Sedges,0.65,0.01,unif,0.33032,,0.634015,klai
2.532524,CMT06-Sedges,60.0,1.0,unif,30.52947,,58.526417,frprod_perc_10
12.077998,CMT06-Sedges,90.0,10.0,unif,50.03996,,88.001922,frprod_perc_20
1.753274,CMT06-Sedges,30.0,1.0,unif,15.514485,,29.275697,frprod_perc_30
0.746762,CMT06-Sedges,10.0,0.5,unif,5.254745,,9.762728,frprod_perc_40
0.10877,CMT06-Sedges,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
8.636496,CMT06-Sedges,145.0,5.0,unif,75.06993,,141.503363,ppfd50
0.773702,CMT06-Sedges,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT06-Sedges,5.0,3.25,unif,4.125874,,4.956292,vpd_close
-7.370125,CMT06-Sedges,-2.5,-7.5,unif,-4.997503,0,-2.62488,pstemp_min
10.519499,CMT06-Sedges,30.0,10.0,unif,20.00999,0,29.50048,pstemp_high
25.519499,CMT06-Sedges,45.0,25.0,unif,35.00999,0,44.50048,pstemp_max
2.181825,CMT06-Sedges,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
4.977758,CMT06-Grasses,14.23413,3.486703,weibull,12.833678,347,20.712435,SLA
0.017533,CMT06-Sedges,0.3,0.01,unif,0.155145,,0.292757,SW_albedo
0.002526,CMT04-Sedges,0.0035,0.0025,unif,0.003,,0.003475,gcmax
2.181825,CMT04-Sedges,9.0,2.0,unif,5.503496,,8.825168,pstemp_low
0.10877,CMT04-Sedges,4.0,0.005,unif,2.004496,,3.900221,frprod_perc_50
778.116414,CMT04-Sedges,0.7,8.0,lnorm,3006.455586,0,11766.133712,cuticular_cond
-7.370125,CMT04-Sedges,-2.5,-7.5,unif,-4.997503,0,-2.62488,pstemp_min
10.519499,CMT04-Sedges,30.0,10.0,unif,20.00999,0,29.50048,pstemp_high
25.519499,CMT04-Sedges,45.0,25.0,unif,35.00999,0,44.50048,pstemp_max
0.057792,CMT04-Sedges,0.35,0.05,unif,0.20015,0,0.342507,labncon
0.773702,CMT05-Betula,1.1,0.765,unif,0.932667,,1.091633,vpd_open
3.295456,CMT05-Betula,5.0,3.25,unif,4.125874,,4.956292,vpd_close
